story_id,condition,source,sampled_norm
YS2008-COFFEE-neutral,neutral,YS2008,0.5
YS2008-COFFEE-accidental,accidental,YS2008,1.0
YS2008-COFFEE-attempted,attempted,YS2008,1.0
YS2008-COFFEE-intentional,intentional,YS2008,1.0
YS2008-YS2008_02-neutral,neutral,YS2008,0.2833
YS2008-YS2008_02-accidental,accidental,YS2008,1.0
YS2008-YS2008_02-attempted,attempted,YS2008,0.5
YS2008-YS2008_02-intentional,intentional,YS2008,1.0
YS2008-YS2008_03-neutral,neutral,YS2008,0.7
YS2008-YS2008_03-accidental,accidental,YS2008,1.0
YS2008-YS2008_03-attempted,attempted,YS2008,0.5
YS2008-YS2008_03-intentional,intentional,YS2008,1.0
YS2008-YS2008_04-neutral,neutral,YS2008,0.1333
YS2008-YS2008_04-accidental,accidental,YS2008,1.0
YS2008-YS2008_04-attempted,attempted,YS2008,0.5
YS2008-YS2008_04-intentional,intentional,YS2008,1.0
YS2008-YS2008_05-neutral,neutral,YS2008,0.5
YS2008-YS2008_05-accidental,accidental,YS2008,1.0
YS2008-YS2008_05-attempted,attempted,YS2008,0.5
YS2008-YS2008_05-intentional,intentional,YS2008,1.0
YS2008-YS2008_06-neutral,neutral,YS2008,0.5
YS2008-YS2008_06-accidental,accidental,YS2008,1.0
YS2008-YS2008_06-attempted,attempted,YS2008,0.6833
YS2008-YS2008_06-intentional,intentional,YS2008,1.0
YS2008-YS2008_07-neutral,neutral,YS2008,0.0
YS2008-YS2008_07-accidental,accidental,YS2008,1.0
YS2008-YS2008_07-attempted,attempted,YS2008,0.6833
YS2008-YS2008_07-intentional,intentional,YS2008,1.0
YS2008-YS2008_08-neutral,neutral,YS2008,0.5
YS2008-YS2008_08-accidental,accidental,YS2008,1.0
YS2008-YS2008_08-attempted,attempted,YS2008,0.5
YS2008-YS2008_08-intentional,intentional,YS2008,1.0
YS2008-ASTHMA-neutral,neutral,YS2008,0.5
YS2008-ASTHMA-accidental,accidental,YS2008,1.0
YS2008-ASTHMA-attempted,attempted,YS2008,0.5
YS2008-ASTHMA-intentional,intentional,YS2008,0.7167
YS2008-YS2008_10-neutral,neutral,YS2008,0.5
YS2008-YS2008_10-accidental,accidental,YS2008,1.0
YS2008-YS2008_10-attempted,attempted,YS2008,0.5833
YS2008-YS2008_10-intentional,intentional,YS2008,1.0
YS2008-YS2008_11-neutral,neutral,YS2008,0.5
YS2008-YS2008_11-accidental,accidental,YS2008,1.0
YS2008-YS2008_11-attempted,attempted,YS2008,0.7333
YS2008-YS2008_11-intentional,intentional,YS2008,1.0
YS2008-YS2008_12-neutral,neutral,YS2008,0.5
YS2008-YS2008_12-accidental,accidental,YS2008,1.0
YS2008-YS2008_12-attempted,attempted,YS2008,0.7
YS2008-YS2008_12-intentional,intentional,YS2008,1.0
YS2008-YS2008_13-neutral,neutral,YS2008,0.75
YS2008-YS2008_13-accidental,accidental,YS2008,1.0
YS2008-YS2008_13-attempted,attempted,YS2008,0.55
YS2008-YS2008_13-intentional,intentional,YS2008,1.0
YS2008-YS2008_14-neutral,neutral,YS2008,0.5
YS2008-YS2008_14-accidental,accidental,YS2008,1.0
YS2008-YS2008_14-attempted,attempted,YS2008,0.8167
YS2008-YS2008_14-intentional,intentional,YS2008,1.0
YS2008-YS2008_15-neutral,neutral,YS2008,0.3
YS2008-YS2008_15-accidental,accidental,YS2008,1.0
YS2008-YS2008_15-attempted,attempted,YS2008,0.3333
YS2008-YS2008_15-intentional,intentional,YS2008,1.0
YS2008-YS2008_16-neutral,neutral,YS2008,0.2833
YS2008-YS2008_16-accidental,accidental,YS2008,1.0
YS2008-YS2008_16-attempted,attempted,YS2008,1.0
YS2008-YS2008_16-intentional,intentional,YS2008,1.0
YS2008-YS2008_17-neutral,neutral,YS2008,0.8833
YS2008-YS2008_17-accidental,accidental,YS2008,1.0
YS2008-YS2008_17-attempted,attempted,YS2008,1.0
YS2008-YS2008_17-intentional,intentional,YS2008,1.0
YS2008-YS2008_18-neutral,neutral,YS2008,0.0
YS2008-YS2008_18-accidental,accidental,YS2008,1.0
YS2008-YS2008_18-attempted,attempted,YS2008,0.5
YS2008-YS2008_18-intentional,intentional,YS2008,1.0
YS2008-YS2008_19-neutral,neutral,YS2008,0.5
YS2008-YS2008_19-accidental,accidental,YS2008,1.0
YS2008-YS2008_19-attempted,attempted,YS2008,0.5
YS2008-YS2008_19-intentional,intentional,YS2008,1.0
YS2008-YS2008_20-neutral,neutral,YS2008,0.3
YS2008-YS2008_20-accidental,accidental,YS2008,1.0
YS2008-YS2008_20-attempted,attempted,YS2008,0.2167
YS2008-YS2008_20-intentional,intentional,YS2008,1.0
YS2008-YS2008_21-neutral,neutral,YS2008,0.2
YS2008-YS2008_21-accidental,accidental,YS2008,1.0
YS2008-YS2008_21-attempted,attempted,YS2008,0.5
YS2008-YS2008_21-intentional,intentional,YS2008,1.0
YS2008-YS2008_22-neutral,neutral,YS2008,0.5
YS2008-YS2008_22-accidental,accidental,YS2008,1.0
YS2008-YS2008_22-attempted,attempted,YS2008,1.0
YS2008-YS2008_22-intentional,intentional,YS2008,1.0
YS2008-CHAIRLIFT-neutral,neutral,YS2008,0.1
YS2008-CHAIRLIFT-accidental,accidental,YS2008,1.0
YS2008-CHAIRLIFT-attempted,attempted,YS2008,0.9
YS2008-CHAIRLIFT-intentional,intentional,YS2008,1.0
YS2008-YS2008_24-neutral,neutral,YS2008,0.75
YS2008-YS2008_24-accidental,accidental,YS2008,1.0
YS2008-YS2008_24-attempted,attempted,YS2008,0.8833
YS2008-YS2008_24-intentional,intentional,YS2008,1.0
YS2008-MALARIA POND-neutral,neutral,YS2008,0.5
YS2008-MALARIA POND-accidental,accidental,YS2008,1.0
YS2008-MALARIA POND-attempted,attempted,YS2008,0.5
YS2008-MALARIA POND-intentional,intentional,YS2008,1.0
YS2008-YS2008_26-neutral,neutral,YS2008,0.5
YS2008-YS2008_26-accidental,accidental,YS2008,0.8167
YS2008-YS2008_26-attempted,attempted,YS2008,0.7
YS2008-YS2008_26-intentional,intentional,YS2008,1.0
YS2008-SPINACH-neutral,neutral,YS2008,0.3833
YS2008-SPINACH-accidental,accidental,YS2008,0.5
YS2008-SPINACH-attempted,attempted,YS2008,0.5
YS2008-SPINACH-intentional,intentional,YS2008,0.7667
YS2008-YS2008_28-neutral,neutral,YS2008,0.5
YS2008-YS2008_28-accidental,accidental,YS2008,1.0
YS2008-YS2008_28-attempted,attempted,YS2008,0.8167
YS2008-YS2008_28-intentional,intentional,YS2008,0.5833
YS2008-ALARM-neutral,neutral,YS2008,0.5
YS2008-ALARM-accidental,accidental,YS2008,0.8667
YS2008-ALARM-attempted,attempted,YS2008,0.5
YS2008-ALARM-intentional,intentional,YS2008,0.7167
YS2008-YS2008_30-neutral,neutral,YS2008,0.5
YS2008-YS2008_30-accidental,accidental,YS2008,1.0
YS2008-YS2008_30-attempted,attempted,YS2008,0.5
YS2008-YS2008_30-intentional,intentional,YS2008,1.0
YS2008-ZOO-neutral,neutral,YS2008,0.5
YS2008-ZOO-accidental,accidental,YS2008,1.0
YS2008-ZOO-attempted,attempted,YS2008,0.5
YS2008-ZOO-intentional,intentional,YS2008,1.0
YS2008-YS2008_32-neutral,neutral,YS2008,0.5
YS2008-YS2008_32-accidental,accidental,YS2008,0.65
YS2008-YS2008_32-attempted,attempted,YS2008,0.5
YS2008-YS2008_32-intentional,intentional,YS2008,0.5
YS2008-SUSHI-neutral,neutral,YS2008,0.0
YS2008-SUSHI-accidental,accidental,YS2008,1.0
YS2008-SUSHI-attempted,attempted,YS2008,0.8667
YS2008-SUSHI-intentional,intentional,YS2008,1.0
YS2008-YS2008_34-neutral,neutral,YS2008,0.5
YS2008-YS2008_34-accidental,accidental,YS2008,1.0
YS2008-YS2008_34-attempted,attempted,YS2008,0.85
YS2008-YS2008_34-intentional,intentional,YS2008,1.0
YS2008-FUMIGATION-neutral,neutral,YS2008,0.85
YS2008-FUMIGATION-accidental,accidental,YS2008,1.0
YS2008-FUMIGATION-attempted,attempted,YS2008,1.0
YS2008-FUMIGATION-intentional,intentional,YS2008,1.0
YS2008-YS2008_36-neutral,neutral,YS2008,0.3
YS2008-YS2008_36-accidental,accidental,YS2008,1.0
YS2008-YS2008_36-attempted,attempted,YS2008,0.65
YS2008-YS2008_36-intentional,intentional,YS2008,1.0
YS2008-BOUNCY BALL-neutral,neutral,YS2008,0.5
YS2008-BOUNCY BALL-accidental,accidental,YS2008,1.0
YS2008-BOUNCY BALL-attempted,attempted,YS2008,0.4333
YS2008-BOUNCY BALL-intentional,intentional,YS2008,0.75
YS2008-YS2008_38-neutral,neutral,YS2008,0.0
YS2008-YS2008_38-accidental,accidental,YS2008,1.0
YS2008-YS2008_38-attempted,attempted,YS2008,0.7333
YS2008-YS2008_38-intentional,intentional,YS2008,1.0
YS2008-RABIES-neutral,neutral,YS2008,0.0
YS2008-RABIES-accidental,accidental,YS2008,1.0
YS2008-RABIES-attempted,attempted,YS2008,1.0
YS2008-RABIES-intentional,intentional,YS2008,1.0
YS2008-YS2008_40-neutral,neutral,YS2008,0.0
YS2008-YS2008_40-accidental,accidental,YS2008,1.0
YS2008-YS2008_40-attempted,attempted,YS2008,0.5
YS2008-YS2008_40-intentional,intentional,YS2008,1.0
YS2008-TREE HOUSE-neutral,neutral,YS2008,0.5
YS2008-TREE HOUSE-accidental,accidental,YS2008,1.0
YS2008-TREE HOUSE-attempted,attempted,YS2008,0.5
YS2008-TREE HOUSE-intentional,intentional,YS2008,1.0
YS2008-YS2008_42-neutral,neutral,YS2008,0.5
YS2008-YS2008_42-accidental,accidental,YS2008,1.0
YS2008-YS2008_42-attempted,attempted,YS2008,1.0
YS2008-YS2008_42-intentional,intentional,YS2008,1.0
YS2008-CPR-neutral,neutral,YS2008,0.5
YS2008-CPR-accidental,accidental,YS2008,1.0
YS2008-CPR-attempted,attempted,YS2008,0.7667
YS2008-CPR-intentional,intentional,YS2008,0.5
YS2008-YS2008_44-neutral,neutral,YS2008,0.0
YS2008-YS2008_44-accidental,accidental,YS2008,0.5
YS2008-YS2008_44-attempted,attempted,YS2008,0.5
YS2008-YS2008_44-intentional,intentional,YS2008,0.8333
YS2008-SEATBELT-neutral,neutral,YS2008,0.5
YS2008-SEATBELT-accidental,accidental,YS2008,1.0
YS2008-SEATBELT-attempted,attempted,YS2008,0.5
YS2008-SEATBELT-intentional,intentional,YS2008,1.0
YS2008-YS2008_46-neutral,neutral,YS2008,0.0
YS2008-YS2008_46-accidental,accidental,YS2008,1.0
YS2008-YS2008_46-attempted,attempted,YS2008,0.25
YS2008-YS2008_46-intentional,intentional,YS2008,0.9333
YS2008-TEENAGERS-neutral,neutral,YS2008,0.5
YS2008-TEENAGERS-accidental,accidental,YS2008,1.0
YS2008-TEENAGERS-attempted,attempted,YS2008,0.5833
YS2008-TEENAGERS-intentional,intentional,YS2008,0.7167
YS2008-YS2008_48-neutral,neutral,YS2008,0.5
YS2008-YS2008_48-accidental,accidental,YS2008,1.0
YS2008-YS2008_48-attempted,attempted,YS2008,0.6
YS2008-YS2008_48-intentional,intentional,YS2008,0.7833
YS2009-YS2009_01-neutral,neutral,YS2009,0.3333
YS2009-YS2009_01-accidental,accidental,YS2009,0.6667
YS2009-YS2009_01-attempted,attempted,YS2009,0.3333
YS2009-YS2009_01-intentional,intentional,YS2009,0.5778
YS2009-YS2009_02-neutral,neutral,YS2009,0.0
YS2009-YS2009_02-accidental,accidental,YS2009,0.3
YS2009-YS2009_02-attempted,attempted,YS2009,0.3333
YS2009-YS2009_02-intentional,intentional,YS2009,0.3
YS2009-YS2009_03-neutral,neutral,YS2009,0.2556
YS2009-YS2009_03-accidental,accidental,YS2009,0.4
YS2009-YS2009_03-attempted,attempted,YS2009,0.4333
YS2009-YS2009_03-intentional,intentional,YS2009,0.3889
YS2009-YS2009_04-neutral,neutral,YS2009,0.4
YS2009-YS2009_04-accidental,accidental,YS2009,0.7444
YS2009-YS2009_04-attempted,attempted,YS2009,0.3333
YS2009-YS2009_04-intentional,intentional,YS2009,0.5556
YS2009-YS2009_05-neutral,neutral,YS2009,0.0
YS2009-YS2009_05-accidental,accidental,YS2009,0.6667
YS2009-YS2009_05-attempted,attempted,YS2009,0.4444
YS2009-YS2009_05-intentional,intentional,YS2009,0.6667
YS2009-YS2009_06-neutral,neutral,YS2009,0.4
YS2009-YS2009_06-accidental,accidental,YS2009,0.7222
YS2009-YS2009_06-attempted,attempted,YS2009,0.3333
YS2009-YS2009_06-intentional,intentional,YS2009,0.6667
YS2009-YS2009_07-neutral,neutral,YS2009,0.3333
YS2009-YS2009_07-accidental,accidental,YS2009,0.4556
YS2009-YS2009_07-attempted,attempted,YS2009,0.3333
YS2009-YS2009_07-intentional,intentional,YS2009,0.4444
YS2009-YS2009_08-neutral,neutral,YS2009,0.0
YS2009-YS2009_08-accidental,accidental,YS2009,0.4778
YS2009-YS2009_08-attempted,attempted,YS2009,0.0
YS2009-YS2009_08-intentional,intentional,YS2009,0.4333
YS2009-YS2009_09-neutral,neutral,YS2009,0.0
YS2009-YS2009_09-accidental,accidental,YS2009,0.8111
YS2009-YS2009_09-attempted,attempted,YS2009,0.1778
YS2009-YS2009_09-intentional,intentional,YS2009,0.5889
YS2009-YS2009_10-neutral,neutral,YS2009,0.2
YS2009-YS2009_10-accidental,accidental,YS2009,1.0
YS2009-YS2009_10-attempted,attempted,YS2009,0.4556
YS2009-YS2009_10-intentional,intentional,YS2009,1.0
YS2009-YS2009_11-neutral,neutral,YS2009,0.2778
YS2009-YS2009_11-accidental,accidental,YS2009,0.8667
YS2009-YS2009_11-attempted,attempted,YS2009,0.4111
YS2009-YS2009_11-intentional,intentional,YS2009,0.8
YS2009-YS2009_12-neutral,neutral,YS2009,0.6667
YS2009-YS2009_12-accidental,accidental,YS2009,0.9
YS2009-YS2009_12-attempted,attempted,YS2009,0.6667
YS2009-YS2009_12-intentional,intentional,YS2009,0.6667
YS2009-YS2009_13-neutral,neutral,YS2009,0.3333
YS2009-YS2009_13-accidental,accidental,YS2009,0.3778
YS2009-YS2009_13-attempted,attempted,YS2009,0.4667
YS2009-YS2009_13-intentional,intentional,YS2009,0.2111
YS2009-YS2009_14-neutral,neutral,YS2009,0.3778
YS2009-YS2009_14-accidental,accidental,YS2009,0.5111
YS2009-YS2009_14-attempted,attempted,YS2009,0.4
YS2009-YS2009_14-intentional,intentional,YS2009,0.4778
YS2009-YS2009_15-neutral,neutral,YS2009,0.0
YS2009-YS2009_15-accidental,accidental,YS2009,0.3333
YS2009-YS2009_15-attempted,attempted,YS2009,0.3333
YS2009-YS2009_15-intentional,intentional,YS2009,0.3333
YS2009-YS2009_16-neutral,neutral,YS2009,0.0
YS2009-YS2009_16-accidental,accidental,YS2009,0.3333
YS2009-YS2009_16-attempted,attempted,YS2009,0.0
YS2009-YS2009_16-intentional,intentional,YS2009,0.3333
YS2009-YS2009_17-neutral,neutral,YS2009,0.0
YS2009-YS2009_17-accidental,accidental,YS2009,0.3889
YS2009-YS2009_17-attempted,attempted,YS2009,0.0778
YS2009-YS2009_17-intentional,intentional,YS2009,0.4
YS2009-YS2009_18-neutral,neutral,YS2009,0.0
YS2009-YS2009_18-accidental,accidental,YS2009,0.4333
YS2009-YS2009_18-attempted,attempted,YS2009,0.3333
YS2009-YS2009_18-intentional,intentional,YS2009,0.4556
YS2009-YS2009_19-neutral,neutral,YS2009,0.0
YS2009-YS2009_19-accidental,accidental,YS2009,0.4444
YS2009-YS2009_19-attempted,attempted,YS2009,0.0
YS2009-YS2009_19-intentional,intentional,YS2009,0.3444
YS2009-YS2009_20-neutral,neutral,YS2009,0.0
YS2009-YS2009_20-accidental,accidental,YS2009,0.6667
YS2009-YS2009_20-attempted,attempted,YS2009,0.3333
YS2009-YS2009_20-intentional,intentional,YS2009,0.6667
YS2009-YS2009_21-neutral,neutral,YS2009,0.0
YS2009-YS2009_21-accidental,accidental,YS2009,1.0
YS2009-YS2009_21-attempted,attempted,YS2009,0.3333
YS2009-YS2009_21-intentional,intentional,YS2009,1.0
YS2009-YS2009_22-neutral,neutral,YS2009,0.4889
YS2009-YS2009_22-accidental,accidental,YS2009,0.1444
YS2009-YS2009_22-attempted,attempted,YS2009,0.7222
YS2009-YS2009_22-intentional,intentional,YS2009,0.1333
YS2009-YS2009_23-neutral,neutral,YS2009,0.3333
YS2009-YS2009_23-accidental,accidental,YS2009,0.8778
YS2009-YS2009_23-attempted,attempted,YS2009,0.6667
YS2009-YS2009_23-intentional,intentional,YS2009,0.6667
YS2009-YS2009_24-neutral,neutral,YS2009,0.3333
YS2009-YS2009_24-accidental,accidental,YS2009,0.6667
YS2009-YS2009_24-attempted,attempted,YS2009,0.3333
YS2009-YS2009_24-intentional,intentional,YS2009,0.6667
YS2011-Allergy-intentional,intentional,YS2011,0.7556
YS2011-Allergy-accidental,accidental,YS2011,0.6667
YS2011-Poison-intentional,intentional,YS2011,1.0
YS2011-Poison-accidental,accidental,YS2011,0.9222
YS2011-Sibling-intentional,intentional,YS2011,0.7389
YS2011-Sibling-accidental,accidental,YS2011,0.7222
YS2011-Parent-intentional,intentional,YS2011,0.4778
YS2011-Parent-accidental,accidental,YS2011,0.5667
YS2011-Dog-intentional,intentional,YS2011,0.95
YS2011-Dog-accidental,accidental,YS2011,1.0
